batter,runs_scored,balls_faced,matches_played
Hv Patel,270,241,41
Jc Archer,262,183,30
Atharva Taide,260,188,10
Jo Holder,259,217,27
M Kaif,259,258,22
V Suryavanshi,252,129,7
K Gowtham,247,159,27
Harpreet Brar,244,214,26
Sm Katich,241,191,11
A Mhatre,240,131,7
Bcj Cutting,238,146,17
Md Mishra,237,213,17
Aniket Verma,236,148,12
Mohammad Nabi,221,157,19
K Goel,218,239,16
Ramandeep Singh,217,142,20
Aa Jhunjhunwala,217,218,15
K Rabada,215,216,30
R Dhawan,210,188,22
Ut Yadav,208,211,48
Ca Ingram,205,183,15
Pd Collingwood,203,159,7
Kuldeep Yadav,201,240,37
Ks Bharat,199,168,8
Sk Warne,198,219,27
Jd Unadkat,197,170,27
Sp Fleming,196,171,10
As Raut,194,172,16
Salman Butt,193,172,7
Bj Rohrer,193,146,8
Yv Takawale,192,183,10
Hc Brook,190,159,11
Bipul Sharma,187,124,17
R Shepherd,185,93,12
Sd Hope,183,125,9
Fy Fazal,183,179,11
Ms Wade,183,185,14
Sikandar Raza,182,143,9
Cr Brathwaite,181,120,14
Ac Voges,181,143,7
S Gopal,180,173,22
Ab Agarkar,179,160,18
C Munro,177,144,11
Mf Maharoof,177,124,14
Sameer Rizvi,172,126,9
Dh Yagnik,170,142,17
Cm Gautam,169,158,13
Mg Johnson,167,168,28
Mn Van Wyk,167,135,5
Dw Steyn,167,163,33
Pa Reddy,164,167,10
N Jagadeesan,162,155,10
Mn Samuels,161,174,14
R Mclaren,159,178,13
Re Van Der Merwe,159,144,15
D Wiese,148,105,11
Ad Hales,148,119,6
Sm Pollock,147,116,8
S Vidyut,145,115,8
Sachin Baby,144,123,11
V Nigam,142,82,8
M Jansen,141,136,20
N Saini,140,143,10
Sb Dubey,139,87,11
Anmolpreet Singh,139,117,9
S Anirudha,136,121,12
Sb Styris,131,134,10
W Jaffer,130,129,8
Rd Chahar,129,127,22
Kamran Akmal,128,78,6
P Dogra,127,141,12
Tk Curran,127,108,10
Ut Khawaja,127,105,6
M Morkel,126,93,20
Ss Prabhudessai,126,113,10
Mm Sharma,125,140,30
Mc Juneja,125,134,7
Bb Samantray,125,116,8
B Lee,124,102,19
Ab Mcdonald,123,103,9
Harpreet Singh,123,119,8
Dl Vettori,121,118,16
Nk Patel,121,124,6
Ac Blizzard,120,91,7
Tg Southee,120,108,19
Arshad Khan,119,90,10
Mw Short,117,99,6
Misbah-Ul-Haq,117,82,8
Rj Harris,117,112,21
Z Khan,117,141,27
Dl Chahar,117,86,16
Kk Cooper,116,70,12
Aman Hakim Khan,115,109,10
Djm Short,115,102,7
M Kartik,113,109,14
Mohammed Siraj,112,127,21
Dj Harris,111,103,4
Ma Starc,111,120,21
Mj Santner,110,111,19
Jdp Oram,106,110,11
Lj Wright,106,63,5
Ds Kulkarni,104,113,20
Rj Quiney,103,105,7
Ms Gony,99,76,15
Azmatullah Omarzai,99,77,9
Sd Chitnis,99,92,8
Mj Clarke,98,96,6
Cj Ferguson,98,119,8
Pn Mankad,97,75,5
Jds Neesham,92,93,10
Dj Jacobs,92,101,7
Pr Shah,92,97,9
Phkd Mendis,92,72,5
S Rana,91,82,8
Aj Tye,91,79,13
Rt Ponting,91,129,9
Ad Nath,90,99,10
Sl Malinga,88,103,20
Iqbal Abdulla,88,86,13
Ankit Sharma,87,69,10
Ap Majumdar,87,77,4
Mj Mcclenaghan,85,73,20
Ta Boult,85,86,24
Mohammed Shami,84,93,27
Re Levi,83,74,6
Nm Coulter-Nile,82,75,16
Shahid Afridi,81,46,9
Wpujc Vaas,81,73,11
Pwh De Silva,81,95,19
La Carseldine,81,71,5
Cj Jordan,81,81,12
Rv Patel,80,76,7
Ad Mascarenhas,79,79,11
Cr Woakes,78,77,12
Jr Philippe,78,80,5
Ir Jaggi,76,100,7
B Akhil,76,57,11
