fielder,dismissals
KS Bharat,6
C Sakariya,6
Harmeet Singh,6
KP Appanna,6
Sameer Rizvi,6
P Dogra,6
Umran Malik,6
Vijaykumar Vyshak,6
L Ronchi,6
CA Pujara,6
DR Shorey,6
PWH de Silva,6
MF Maharoof,6
CR Woakes,6
HR Shokeen,6
Kamran Khan,6
TM Head,6
S Aravind,6
Basil Thampi,5
U Kaul,5
BJ Rohrer,5
S Gopal,5
Anand Rajan,5
MJ Lumb,5
W Jaffer,5
VVS Laxman,5
Atharva Taide,5
VR Aaron,5
XC Bartlett,5
P Awana,5
AS Joseph,5
R Shepherd,5
GB Hogg,5
JR Hopes,5
MW Short,5
Mustafizur Rahman,5
AN Ahmed,5
Sikandar Raza,5
DJ Harris,5
V Nigam,5
T Kohli,5
RR Powar,5
J Little,5
LA Carseldine,4
A Mukund,4
R Rampaul,4
PBB Rajapaksa,4
AC Voges,4
C Munro,4
Zeeshan Ansari,4
Shahid Afridi,4
RV Gomez,4
RA Bawa,4
AC Thomas,4
J Theron,4
AS Rajpoot,4
RT Ponting,4
PVD Chameera,4
AC Blizzard,4
TM Srivastava,4
Simarjeet Singh,4
BB Samantray,4
RS Bopara,4
KMDN Kulasekara,4
AG Murtaza,4
Shoaib Ahmed,4
SM Katich,4
LJ Wright,4
SB Styris,4
CK Kapugedera,4
T Thushara,4
A Mhatre,4
JPR Scantlebury-Searles,4
RR Raje,4
B Akhil,4
Prince Yadav,4
Ashutosh Sharma,4
B Sumanth,4
SB Bangar,4
NS Naik,4
D Pretorius,4
B Chipli,4
AL Menaria,4
Ankit Sharma,4
A Kamboj,4
BR Dunk,4
DJ Willey,4
LPC Silva,4
SM Pollock,3
Yashpal Singh,3
AUK Pathan,3
Mayank Dagar,3
G Coetzee,3
Harpreet Singh,3
J Syed Mohammad,3
BE Hendricks,3
Sumit Kumar,3
GD Phillips,3
A Chopra,3
A Flintoff,3
S Tyagi,3
YV Dhull,3
Kartik Tyagi,3
I Udana,3
S Rana,3
Swapnil Singh,3
Mukesh Choudhary,3
RV Patel,3
Rasikh Salam,3
S Sreesanth,3
DS Rathi,3
HC Brook,3
Vishnu Vinod,3
MP Yadav,3
S Randiv,3
KR Sen,3
CRD Fernando,3
AA Chavan,3
OF Smith,3
Anirudh Singh,3
VRV Singh,3
PA Reddy,3
PC Valthaty,3
Yash Thakur,3
BMAJ Mendis,3
B Geeves,3
Parvez Rasool,3
