batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
Ravi Bishnoi,45,68,16,66.17647058823529,46.33529411764706,3
T Taibu,31,26,3,119.23076923076923,45.84615384615384,0
Bj Haddin,18,11,1,163.63636363636365,45.42727272727274,4
Umran Malik,23,16,5,143.75,45.349999999999994,4
At Carey,32,29,3,110.34482758620689,44.76896551724138,0
Sk Trivedi,42,61,14,68.85245901639344,44.570491803278685,3
Kw Richardson,36,39,4,92.3076923076923,44.06153846153846,0
Tu Deshpande,28,24,8,116.66666666666667,43.733333333333334,0
A Nehra,41,63,17,65.07936507936508,43.41587301587302,3
B Sumanth,35,38,4,92.10526315789474,43.321052631578944,0
Yudhvir Singh,22,16,4,137.5,43.3,4
Harmeet Singh,18,12,4,150.0,43.0,4
Sediqullah Atal,22,16,1,137.5,43.0,4
Rj Peterson,32,32,5,100.0,42.9,0
Rs Sodhi,4,2,1,200.0,42.9,4
Vh Zol,29,26,2,111.53846153846155,42.80769230769231,0
A Choudhary,25,20,3,125.0,42.8,0
P Sahu,19,13,2,146.15384615384613,42.730769230769226,4
L Ronchi,34,37,5,91.8918918918919,42.67837837837838,0
J Syed Mohammad,29,27,5,107.40740740740742,42.28148148148148,0
Dj Thornely,39,54,4,72.22222222222221,42.14444444444444,3
Kj Abbott,13,8,3,162.5,41.9,4
Imran Tahir,33,37,8,89.1891891891892,41.73783783783783,0
Au Rashid,22,17,2,129.41176470588235,41.48235294117647,0
Anureet Singh,36,47,8,76.59574468085107,41.31914893617021,0
G Coetzee,31,33,7,93.93939393939394,41.18787878787879,0
Navdeep Saini,33,38,7,86.8421052631579,41.16842105263159,0
Nl Mccullum,26,23,2,113.04347826086956,41.00869565217391,0
L Balaji,36,50,13,72.0,40.9,3
Sanvir Singh,25,22,5,113.63636363636364,40.727272727272734,0
Basil Thampi,32,37,7,86.48648648648648,40.3972972972973,0
Aj Hosein,16,11,1,145.45454545454547,40.3909090909091,4
A Kumble,35,49,15,71.42857142857143,40.285714285714285,3
Kc Cariappa,24,21,5,114.28571428571428,40.15714285714286,0
Sa Abbott,22,18,3,122.22222222222223,40.144444444444446,0
I Malhotra,7,4,1,175.0,40.0,4
As Roy,26,25,7,104.0,39.7,0
M Ashwin,35,50,12,70.0,39.7,3
Jm Kemp,26,25,2,104.0,39.2,0
Ma Khote,24,22,3,109.09090909090908,38.91818181818181,0
Sb Jakati,28,30,5,93.33333333333333,38.766666666666666,0
Gulbadin Naib,19,15,1,126.66666666666666,38.733333333333334,0
Tl Seifert,26,26,3,100.0,38.5,0
Md Shanaka,26,26,3,100.0,38.5,0
Dj Malan,26,26,1,100.0,38.300000000000004,0
S Sriram,31,38,2,81.57894736842105,38.21578947368421,0
I Udana,15,11,4,136.36363636363635,38.172727272727265,4
S Nadeem,39,88,20,44.31818181818182,38.163636363636364,3
Arjun Tendulkar,13,9,1,144.44444444444443,38.08888888888889,4
Oc Mccoy,8,5,1,160.0,37.7,4
Shivam Sharma,5,3,2,166.66666666666669,37.03333333333334,4
Kmdn Kulasekara,5,3,1,166.66666666666669,36.93333333333334,4
S Sreesanth,34,57,12,59.64912280701754,36.92982456140351,3
Rr Raje,20,18,5,111.11111111111111,36.72222222222223,0
Mohsin Khan,25,27,5,92.5925925925926,36.51851851851852,0
As Joseph,27,32,5,84.375,36.275,0
R Bishnoi,19,17,3,111.76470588235294,35.95294117647059,0
Arshdeep Singh,31,48,13,64.58333333333334,35.916666666666664,3
Ys Chahal,37,89,17,41.57303370786517,35.91460674157304,3
Gb Hogg,22,22,4,100.0,35.8,0
J Arunkumar,23,24,3,95.83333333333334,35.56666666666666,0
R Sai Kishore,18,16,4,112.5,35.5,0
Ac Thomas,20,19,4,105.26315789473684,35.45263157894737,0
Saurav Chauhan,18,16,3,112.5,35.4,0
K Upadhyay,12,9,2,133.33333333333331,35.266666666666666,0
Daj Bracewell,12,9,1,133.33333333333331,35.166666666666664,0
Ra Bawa,19,18,3,105.55555555555556,34.71111111111111,0
Y Gnaneswara Rao,19,18,1,105.55555555555556,34.51111111111111,0
Sw Tait,23,26,5,88.46153846153845,34.29230769230769,0
Jj Van Der Wath,18,17,3,105.88235294117648,34.076470588235296,0
Ns Naik,31,53,4,58.490566037735846,33.79811320754717,3
Jl Pattinson,15,13,2,115.38461538461537,33.77692307692308,0
Sd Lad,15,13,1,115.38461538461537,33.67692307692308,0
Bmaj Mendis,23,27,3,85.18518518518519,33.43703703703703,0
De Bollinger,21,23,4,91.30434782608695,33.36086956521739,0
Nj Maddinson,20,21,3,95.23809523809523,33.34761904761905,0
He Van Der Dussen,22,25,3,88.0,33.3,0
Mp Breetzke,14,12,1,116.66666666666667,33.233333333333334,0
A Kamboj,16,15,6,106.66666666666667,33.13333333333333,0
V Viyaskanth,7,5,1,140.0,33.0,4
S Chanderpaul,25,33,3,75.75757575757575,32.951515151515146,3
Aj Turner,24,31,6,77.41935483870968,32.883870967741935,0
Ma Wood,12,10,3,120.0,32.699999999999996,0
Jpr Scantlebury-Searles,8,6,2,133.33333333333331,32.46666666666667,0
P Chopra,8,6,1,133.33333333333331,32.36666666666667,0
Dnt Zoysa,11,9,2,122.22222222222223,32.34444444444445,0
Tanush Kotian,24,32,1,75.0,31.9,3
Ds Lehmann,18,19,2,94.73684210526315,31.74736842105263,0
Vijaykumar Vyshak,14,13,4,107.6923076923077,31.738461538461536,0
F Behardien,14,13,3,107.6923076923077,31.638461538461538,0
As Rajpoot,26,41,7,63.41463414634146,31.582926829268292,3
Af Milne,23,31,6,74.19354838709677,31.538709677419355,3
Mdkj Perera,14,13,2,107.6923076923077,31.538461538461537,0
Pj Sangwan,26,47,14,55.319148936170215,30.663829787234043,3
Aa Chavan,12,11,3,109.09090909090908,30.518181818181816,0
P Dubey,23,33,2,69.6969696969697,30.23939393939394,3
R Shukla,19,23,4,82.6086956521739,30.221739130434777,0
Ab Dinda,26,50,16,52.0,30.200000000000003,3
A Mukund,19,23,2,82.6086956521739,30.021739130434778,0
Cv Varun,26,50,11,52.0,29.700000000000003,3
Vrv Singh,4,3,2,133.33333333333331,29.666666666666664,0
Crd Fernando,4,3,2,133.33333333333331,29.666666666666664,0
Gr Napier,15,16,1,93.75,29.35,0
Kaj Roach,10,9,1,111.11111111111111,29.322222222222226,0
Dt Patil,13,13,2,100.0,29.3,0
Parvez Rasool,17,20,4,85.0,29.299999999999997,0
T Banton,18,22,2,81.81818181818183,29.163636363636368,0
Kl Nagarkoti,22,34,7,64.70588235294117,29.041176470588233,3
Aa Kulkarni,9,8,2,112.5,29.0,0
P Ray Barman,19,25,1,76.0,28.6,3
Arshad Khan (2),5,4,1,125.0,28.6,0
Dg Nalkande,12,12,2,100.0,28.599999999999998,0
B Indrajith,21,31,3,67.74193548387096,28.548387096774192,3
Ar Bawne,12,12,1,100.0,28.5,0
Nt Ellis,19,26,5,73.07692307692307,28.41538461538461,3
Dm Bravo,6,5,1,120.0,28.3,0
M Muralitharan,20,30,9,66.66666666666666,28.23333333333333,3
Dr Martyn,19,26,1,73.07692307692307,28.015384615384612,3
C Sakariya,20,31,7,64.51612903225806,27.603225806451615,3
Kma Paul,18,26,5,69.23076923076923,26.946153846153848,3
Naveen-Ul-Haq,18,26,4,69.23076923076923,26.846153846153847,3
Sumit Kumar,18,26,3,69.23076923076923,26.74615384615385,3
Jr Hazlewood,19,30,7,63.33333333333333,26.666666666666664,3
Noor Ahmad,20,35,11,57.14285714285714,26.528571428571432,3
S Kaul,20,36,9,55.55555555555556,26.011111111111113,3
Kartik Tyagi,13,16,6,81.25,25.950000000000003,0
Yv Dhull,16,23,3,69.56521739130434,25.41304347826087,3
Vs Malik,7,7,2,100.0,25.099999999999998,0
Mujeeb Ur Rahman,12,15,6,80.0,25.0,0
C Madan,15,21,1,71.42857142857143,24.885714285714286,3
Fa Allen,14,19,3,73.68421052631578,24.836842105263155,3
Ck Kapugedera,16,24,3,66.66666666666666,24.833333333333332,3
Ja Richardson,17,27,3,62.96296296296296,24.792592592592595,3
Mukesh Choudhary,6,6,2,100.0,24.4,0
Ks Sharma,16,25,3,64.0,24.3,3
Sj Srivastava,5,5,4,100.0,23.9,0
Ck Langeveldt,8,9,2,88.88888888888889,23.57777777777778,0
A Zampa,15,25,5,60.0,23.0,3
Karanveer Singh,12,17,4,70.58823529411765,22.917647058823526,3
Liton Das,4,4,1,100.0,22.900000000000002,0
J Theron,10,13,4,76.92307692307693,22.784615384615385,0
An Ghosh,7,8,2,87.5,22.599999999999998,0
M Theekshana,17,34,6,50.0,22.5,3
D Du Preez,10,13,1,76.92307692307693,22.484615384615388,0
Xc Bartlett,11,15,1,73.33333333333333,22.46666666666667,3
Pv Tambe,18,39,6,46.15384615384615,22.430769230769233,3
Dr Shorey,13,20,2,65.0,22.3,3
Virat Singh,15,26,2,57.692307692307686,22.23846153846154,3
K Kartikeya,12,18,4,66.66666666666666,22.13333333333333,3
Bb Sran,10,14,7,71.42857142857143,21.985714285714284,3
Vy Mahesh,15,28,5,53.57142857142857,21.714285714285715,3
T Henderson,11,16,2,68.75,21.65,3
Ag Murtaza,10,14,3,71.42857142857143,21.585714285714285,3
Ba Bhatt,6,7,2,85.71428571428571,21.54285714285714,0
Vs Yeligati,2,2,1,100.0,21.5,0
Rg More,2,2,1,100.0,21.5,0
Rj Gleeson,2,2,1,100.0,21.5,0
Mashrafe Mortaza,2,2,1,100.0,21.5,0
Ss Shaikh,6,7,1,85.71428571428571,21.442857142857143,0
T Thushara,12,19,4,63.1578947368421,21.43157894736842,3
Pwa Mulder,9,12,1,75.0,21.400000000000002,3
Aa Noffke,9,12,1,75.0,21.400000000000002,3
Simarjeet Singh,10,15,6,66.66666666666666,20.933333333333334,3
Pvsn Raju,1,1,1,100.0,20.8,0
Abdul Basith,1,1,1,100.0,20.8,0
Dp Vijaykumar,1,1,1,100.0,20.8,0
Sz Mulani,1,1,1,100.0,20.8,0
Nj Rimmington,1,1,1,100.0,20.8,0
Ankit Soni,7,9,3,77.77777777777779,20.755555555555556,0
Sh Johnson,8,11,5,72.72727272727273,20.645454545454548,3
Mustafizur Rahman,13,24,7,54.166666666666664,20.633333333333333,3
Jaskaran Singh,8,11,4,72.72727272727273,20.545454545454547,3
Tm Srivastava,8,11,3,72.72727272727273,20.44545454545455,3
Je Root,10,15,1,66.66666666666666,20.433333333333334,3
Pp Ojha,16,45,19,35.55555555555556,20.21111111111111,3
S Badree,13,25,5,52.0,20.0,3
M Ntini,11,19,2,57.89473684210527,19.478947368421053,3
D Ferreira,9,14,3,64.28571428571429,19.45714285714286,3
Sm Harwood,9,14,2,64.28571428571429,19.357142857142858,3
Smsm Senanayake,10,17,4,58.82352941176471,19.16470588235294,3
T Kohli,11,20,3,55.00000000000001,19.000000000000004,3
Gd Mcgrath,4,5,2,80.0,19.0,0
Fh Edwards,4,5,2,80.0,19.0,0
A Dananjaya,4,5,1,80.0,18.900000000000002,0
X Thalaivan Sargunam,10,17,1,58.82352941176471,18.864705882352943,3
Jp Behrendorff,6,9,2,66.66666666666666,17.73333333333333,3
Ts Mills,8,14,5,57.14285714285714,17.52857142857143,3
Mukesh Kumar,10,20,5,50.0,17.5,3
Je Taylor,3,4,2,75.0,17.3,3
Akash Madhwal,8,14,2,57.14285714285714,17.228571428571428,3
M Tiwari,3,4,1,75.0,17.200000000000003,3
S Tyagi,3,4,1,75.0,17.200000000000003,3
Pankaj Singh,7,12,5,58.333333333333336,17.066666666666666,3
Suryansh Shedge,7,12,3,58.333333333333336,16.866666666666667,3
Cj Mckay,8,15,1,53.333333333333336,16.366666666666667,3
Sb Wagh,2,3,2,66.66666666666666,14.933333333333332,3
Shivam Singh,2,3,1,66.66666666666666,14.833333333333332,3
Rk Bhui,10,27,4,37.03703703703704,14.807407407407409,3
M Prasidh Krishna,9,24,7,37.5,14.5,3
A Uniyal,4,7,2,57.14285714285714,14.428571428571427,3
A Chandila,4,7,2,57.14285714285714,14.428571428571427,3
Vg Arora,9,25,9,36.0,14.4,3
Ua Birla,7,15,1,46.666666666666664,14.333333333333334,3
Psp Handscomb,6,12,1,50.0,14.299999999999999,3
T Natarajan,3,5,2,60.0,14.299999999999999,3
Kamran Khan,3,5,1,60.0,14.2,3
Td Paine,10,29,2,34.48275862068966,14.096551724137932,3
A Tomar,4,8,1,50.0,12.9,3
Is Sodhi,7,18,2,38.88888888888889,12.877777777777776,3
Prince Yadav,5,11,2,45.45454545454545,12.790909090909091,3
Baw Mendis,3,6,3,50.0,12.4,3
Mohammad Asif,3,6,2,50.0,12.299999999999999,3
R Ninan,3,6,1,50.0,12.2,3
Rjw Topley,3,6,1,50.0,12.2,3
Yash Dayal,4,9,4,44.44444444444444,12.08888888888889,3
Sb Joshi,6,16,2,37.5,11.899999999999999,3
R Minz,6,16,2,37.5,11.899999999999999,3
Kp Appanna,2,4,3,50.0,11.700000000000001,3
Ghs Garton,2,4,2,50.0,11.6,3
B Laughlin,5,13,4,38.46153846153847,11.592307692307694,3
S Randiv,2,4,1,50.0,11.5,3
T Shamsi,2,4,1,50.0,11.5,3
P Awana,5,14,5,35.714285714285715,11.142857142857142,3
Kumar Kushagra,3,7,3,42.857142857142854,10.971428571428572,3
Gc Viljoen,3,7,3,42.857142857142854,10.971428571428572,3
Ka Maharaj,1,2,1,50.0,10.799999999999999,3
Mohit Rathee,1,2,1,50.0,10.799999999999999,3
Mj Suthar,1,2,1,50.0,10.799999999999999,3
Se Bond,1,2,1,50.0,10.799999999999999,3
Pm Sarvesh Kumar,1,2,1,50.0,10.799999999999999,3
Lb Williams,1,2,1,50.0,10.799999999999999,3
M De Lange,1,2,1,50.0,10.799999999999999,3
Younis Khan,3,7,1,42.857142857142854,10.77142857142857,3
Fazalhaq Farooqi,5,15,3,33.33333333333333,10.466666666666667,3
D Kalyankrishna,3,8,1,37.5,9.7,3
H Das,2,5,1,40.0,9.5,3
Br Sharath,2,5,1,40.0,9.5,3
Dp Nannes,4,13,2,30.76923076923077,9.153846153846153,3
Be Hendricks,1,3,2,33.33333333333333,7.566666666666666,3
P Parameswaran,1,3,2,33.33333333333333,7.566666666666666,3
Le Plunkett,1,3,2,33.33333333333333,7.566666666666666,3
Dj Muthuswami,1,3,1,33.33333333333333,7.466666666666666,3
Rs Gavaskar,2,8,1,25.0,6.5,3
Shoaib Akhtar,2,8,1,25.0,6.5,3
Kk Ahmed,2,9,6,22.22222222222222,6.444444444444445,3
A Singh,2,10,5,20.0,5.9,3
Ms Bhandage,1,4,1,25.0,5.8,3
Ds Rathi,1,4,1,25.0,5.8,3
Mohammad Ashraful,2,12,1,16.666666666666664,4.833333333333332,3
Hf Gurney,1,5,1,20.0,4.8,3
Shoaib Ahmed,1,6,3,16.666666666666664,4.333333333333333,3
Rp Meredith,0,3,2,0.0,0.2,3
S Ladda,0,10,2,0.0,0.2,3
Nd Doshi,0,13,1,0.0,0.1,3
V Pratap Singh,0,1,1,0.0,0.1,3
K Yadav,0,4,1,0.0,0.1,3
R Sanjay Yadav,0,2,1,0.0,0.1,3
U Kaul,0,1,1,0.0,0.1,3
Abdur Razzak,0,2,1,0.0,0.1,3
Musheer Khan,0,3,1,0.0,0.1,3
Mj Owen,0,2,1,0.0,0.1,3
L Ngidi,0,2,1,0.0,0.1,3
L Ablish,0,2,1,0.0,0.1,3
S Kaushik,0,1,1,0.0,0.1,3
Ya Abdulla,0,1,1,0.0,0.1,3
C Nanda,0,1,1,0.0,0.1,3
Ic Pandey,0,2,1,0.0,0.1,3
Ss Cottrell,0,2,1,0.0,0.1,3
Y Prithvi Raj,0,1,1,0.0,0.1,3
Mayank Dagar,0,1,1,0.0,0.1,3
Sunny Gupta,0,1,1,0.0,0.1,3
Rr Bhatkal,0,2,1,0.0,0.1,3
Jl Denly,0,1,1,0.0,0.1,3
Ks Rathore,0,5,1,0.0,0.1,3
Kr Sen,0,3,1,0.0,0.1,3
Km Asif,0,2,1,0.0,0.1,3
S Lamichhane,0,1,1,0.0,0.1,3
