batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
Ik Pathan,1150,985,82,116.75126903553299,836.5502538071066,1
Tm Dilshan,1153,1047,50,110.12416427889207,834.1248328557783,1
R Tewatia,1112,851,76,130.66980023501762,812.1339600470035,1
Rm Patidar,1111,759,38,146.3768115942029,810.7753623188405,4
Ml Hayden,1107,839,32,131.94278903456495,804.488557806913,4
Rk Singh,1099,793,51,138.5876418663304,802.117528373266,4
M Vohra,1083,863,51,125.49246813441484,788.2984936268829,4
Dp Conway,1080,794,28,136.02015113350126,786.0040302267003,4
Lmp Simmons,1079,878,29,122.89293849658314,782.7785876993165,4
Pd Salt,1056,623,34,169.5024077046549,776.5004815409309,4
Ls Livingstone,1051,699,47,150.3576537911302,770.471530758226,4
Lrpl Taylor,1017,847,54,120.07083825265643,741.3141676505312,4
Kp Pietersen,1001,758,36,132.05804749340368,730.7116094986807,4
Mc Henriques,1000,801,54,124.84394506866417,730.3687890137328,4
Sm Curran,997,761,53,131.011826544021,729.4023653088042,4
Jm Sharma,991,656,47,151.0670731707317,728.6134146341464,4
Y Venugopal Rao,985,865,52,113.87283236994219,717.4745664739885,4
Ja Morkel,975,712,67,136.93820224719101,716.5876404494383,4
A Symonds,974,781,36,124.71190781049937,710.3423815620998,4
Cl White,971,774,45,125.45219638242895,709.2904392764857,4
A Badoni,963,740,46,130.13513513513513,704.7270270270269,4
Ba Stokes,935,718,43,130.22284122562675,684.8445682451253,4
Str Binny,880,700,66,125.71428571428571,647.7428571428571,4
Hh Gibbs,886,837,36,105.8542413381123,644.9708482676224,4
Th David,846,524,44,161.45038167938932,628.8900763358778,4
Harbhajan Singh,833,636,88,130.9748427672956,618.094968553459,1
R Ashwin,833,728,93,114.42307692307692,615.2846153846152,1
Shakib Al Hasan,795,665,52,119.54887218045114,585.6097744360902,4
Ms Bisla,798,737,39,108.27679782903662,584.1553595658072,4
Shashank Singh,773,510,33,151.5686274509804,574.7137254901959,4
St Jayasuriya,768,573,30,134.03141361256544,567.406282722513,4
Abdul Samad,743,506,51,146.83794466403162,554.5675889328064,4
M Shahrukh Khan,732,517,48,141.58607350096713,545.5172147001933,4
Gc Smith,739,691,29,106.9464544138929,541.5892908827785,0
Ad Mathews,724,599,41,120.86811352253757,535.0736227045074,4
N Wadhera,719,522,31,137.73946360153258,533.9478927203065,4
T Stubbs,711,442,30,160.85972850678735,532.8719457013575,4
C Green,707,472,28,149.78813559322032,527.657627118644,4
Dhruv Jurel,680,456,35,149.12280701754386,509.3245614035087,4
Tl Suman,676,587,39,115.1618398637138,500.1323679727427,4
