bowler,balls_bowled,wickets_taken,runs_conceded,matches_played
Mukesh Choudhary,334,17,523,16
Kartik Tyagi,458,16,720,20
Vrv Singh,371,16,549,18
St Jayasuriya,301,16,396,21
Rg Sharma,349,16,462,32
Ac Thomas,327,16,416,15
Cr Brathwaite,266,16,384,16
G Coetzee,292,15,490,14
An Ahmed,362,15,515,17
Pvd Chameera,408,15,640,19
Mohammad Nabi,419,15,527,23
Ya Abdulla,222,15,311,11
Sj Srivastava,306,15,444,14
Dr Sams,389,15,528,16
Rr Powar,443,15,538,26
Jr Hopes,369,14,562,20
Kr Sen,255,14,396,12
E Malinga,165,14,244,7
S Lamichhane,211,14,297,9
Kamran Khan,177,14,248,9
Ds Rathi,321,14,435,13
Ka Jamieson,273,14,418,13
Gd Mcgrath,329,14,366,14
Djg Sammy,244,14,354,19
Umar Gul,153,14,198,6
Karanveer Singh,213,14,323,9
R Mclaren,372,14,558,18
Cj Anderson,315,14,525,22
Ab Mcdonald,188,14,263,10
Sm Pollock,280,13,307,13
Jdp Oram,244,13,362,14
Ls Livingstone,321,13,471,27
J Little,236,13,341,11
Tk Curran,252,13,432,13
Ba Bhatt,303,13,408,15
Joginder Sharma,272,13,421,15
Rs Bopara,213,13,301,14
J Theron,235,13,311,10
Ck Langeveldt,165,13,199,7
Bcj Cutting,288,12,430,17
Ag Murtaza,269,12,322,12
Azmatullah Omarzai,300,12,476,15
R Shepherd,223,12,416,15
Simarjeet Singh,256,12,411,14
V Nigam,244,12,361,13
V Shankar,258,12,344,22
K Kartikeya,290,12,412,16
Ankit Sharma,375,12,453,21
Arshad Khan,289,12,502,18
V Pratap Singh,211,12,300,9
Sc Ganguly,280,12,370,20
A Chandila,234,11,245,12
Ashwani Kumar,132,11,234,7
Pankaj Singh,311,11,472,17
Oc Mccoy,180,11,255,8
S Badree,263,11,329,12
Lalit Yadav,294,11,430,19
Akash Deep,302,11,554,14
Ma Wood,127,11,192,5
Be Hendricks,157,11,239,7
Abhishek Sharma,345,11,509,32
Jl Pattinson,222,11,321,10
Ts Mills,218,11,349,10
Jd Ryder,241,11,314,16
Kp Appanna,222,11,291,13
Kma Paul,180,10,239,8
Mp Yadav,129,10,188,6
Anand Rajan,162,10,206,8
Rasikh Salam,245,10,412,13
A Kamboj,198,10,288,11
B Laughlin,179,10,284,9
J Syed Mohammad,196,10,286,11
Dj Hooda,391,10,550,34
Mn Samuels,219,10,285,11
Dj Hussey,323,10,485,26
N Rana,197,10,271,26
T Thushara,144,10,164,6
Se Bond,191,9,225,8
N Thushara,198,9,289,8
Sb Styris,222,9,278,11
Is Sodhi,182,9,204,8
Shahid Afridi,185,9,237,10
Baw Mendis,248,9,306,10
Jec Franklin,155,9,225,15
