index,count
A Mishra,4
Mj Mcclenaghan,2
Ys Chahal,2
Sk Trivedi,2
Mm Sharma,2
Yuvraj Singh,2
Hv Patel,1
R Vinay Kumar,1
Aj Tye,1
Vijaykumar Vyshak,1
Umran Malik,1
T Thushara,1
Sr Watson,1
Sp Narine,1
Sm Curran,1
Ar Patel,1
S Gopal,1
S Badree,1
Rg Sharma,1
Rashid Khan,1
Pv Tambe,1
Ja Morkel,1
P Kumar,1
B Kumar,1
Hh Pandya,1
Ma Starc,1
M Prasidh Krishna,1
M Ntini,1
L Balaji,1
Kma Paul,1
Kamran Khan,1
Jo Holder,1
Jj Bumrah,1
Jd Unadkat,1
A Chandila,1
