batter,run_stddev
Sm Harwood,0.0
Sm Katich,0.0
Sm Pollock,0.0
Smsm Senanayake,0.0
Sn Khan,0.0
Sn Thakur,0.0
So Hetmyer,0.0
Sohail Tanvir,0.0
Sp Fleming,0.0
Sp Goswami,0.0
Sp Jackson,0.0
Sp Narine,0.0
Spd Smith,0.0
Sk Warne,0.0
Sd Chitnis,0.0
Sk Trivedi,0.0
Sk Raina,0.0
Se Marsh,0.0
Se Rutherford,0.0
Sh Johnson,0.0
Shahbaz Ahmed,0.0
Shahid Afridi,0.0
Shakib Al Hasan,0.0
Shashank Singh,0.0
Shivam Mavi,0.0
Shivam Sharma,0.0
Shoaib Ahmed,0.0
Shoaib Malik,0.0
Shubman Gill,0.0
Sikandar Raza,0.0
Simarjeet Singh,0.0
Sj Srivastava,0.0
Sk Rasheed,0.0
Yv Takawale,0.0
M Prasidh Krishna,0.0
M Muralitharan,0.0
Bb Mccullum,0.0
Bb Samantray,0.0
Bb Sran,0.0
Bcj Cutting,0.0
Be Hendricks,0.0
Bipul Sharma,0.0
Baw Mendis,0.0
Bj Hodge,0.0
Bmaj Mendis,0.0
Br Dunk,0.0
C Bosch,0.0
C De Grandhomme,0.0
C Green,0.0
C Munro,0.0
Bj Rohrer,0.0
Basil Thampi,0.0
Ba Stokes,0.0
Ba Bhatt,0.0
At Rayudu,0.0
Atharva Taide,0.0
Au Rashid,0.0
Auk Pathan,0.0
Avesh Khan,0.0
Azhar Mahmood,0.0
Azmatullah Omarzai,0.0
B Akhil,0.0
B Chipli,0.0
B Indrajith,0.0
B Kumar,0.0
B Laughlin,0.0
B Lee,0.0
B Sai Sudharsan,0.0
B Sumanth,0.0
C Sakariya,0.0
Ca Ingram,0.0
Ca Lynn,0.0
Ca Pujara,0.0
Da Miller,0.0
Da Warner,0.0
Db Das,0.0
Db Ravi Teja,0.0
De Bollinger,0.0
Dg Nalkande,0.0
Dh Yagnik,0.0
Dhruv Jurel,0.0
Dj Bravo,0.0
Dj Harris,0.0
Dj Hooda,0.0
Dj Hussey,0.0
Dj Jacobs,0.0
Dj Mitchell,0.0
Dj Thornely,0.0
D Wiese,0.0
At Carey,0.0
D Salunkhe,0.0
D Padikkal,0.0
Ch Gayle,0.0
Ch Morris,0.0
Cj Anderson,0.0
Cj Ferguson,0.0
Cj Jordan,0.0
Ck Kapugedera,0.0
Ck Langeveldt,0.0
Cl White,0.0
Cm Gautam,0.0
Cr Brathwaite,0.0
Cr Woakes,0.0
Crd Fernando,0.0
Cv Varun,0.0
D Brevis,0.0
D Ferreira,0.0
D Pretorius,0.0
Dj Willey,0.0
Ashutosh Sharma,0.0
As Roy,0.0
Aa Bilakhia,0.0
Aa Chavan,0.0
Aa Jhunjhunwala,0.0
Aa Kulkarni,0.0
Ab Agarkar,0.0
Ab Barath,0.0
A Zampa,0.0
Ab De Villiers,0.0
Ab Mcdonald,0.0
Abdul Samad,0.0
Abhishek Sharma,0.0
Abishek Porel,0.0
Ac Blizzard,0.0
Ac Gilchrist,0.0
Ab Dinda,0.0
A Uniyal,0.0
A Symonds,0.0
A Singh,0.0
A Badoni,0.0
A Chandila,0.0
A Chopra,0.0
A Choudhary,0.0
A Flintoff,0.0
A Kamboj,0.0
A Kumble,0.0
A Manohar,0.0
A Mhatre,0.0
A Mishra,0.0
A Mithun,0.0
A Mukund,0.0
A Nehra,0.0
A Nortje,0.0
A Raghuvanshi,0.0
Ac Thomas,0.0
Ac Voges,0.0
Ad Hales,0.0
Ad Mascarenhas,0.0
Anirudh Singh,0.0
Ankit Sharma,0.0
Ankit Soni,0.0
Anmolpreet Singh,0.0
Anuj Rawat,0.0
Anureet Singh,0.0
Ap Dole,0.0
Ap Majumdar,0.0
Ap Tare,0.0
Ar Patel,0.0
Arshad Khan,0.0
Arshdeep Singh,0.0
As Joseph,0.0
As Rajpoot,0.0
As Raut,0.0
Aniket Verma,0.0
As Yadav,0.0
An Ghosh,0.0
Aman Hakim Khan,0.0
Ad Mathews,0.0
Ad Nath,0.0
Ad Russell,0.0
Af Milne,0.0
Ag Murtaza,0.0
Ag Paunikar,0.0
Aj Finch,0.0
Aj Turner,0.0
Aj Tye,0.0
Ak Markram,0.0
Akash Deep,0.0
Akash Madhwal,0.0
Al Menaria,0.0
Am Nayar,0.0
Am Rahane,0.0
An Ahmed,0.0
Djg Sammy,0.0
Djm Short,0.0
Dl Chahar,0.0
K Kartikeya,0.0
K Rabada,0.0
K Upadhyay,0.0
Ka Jamieson,0.0
Ka Pollard,0.0
Kamran Akmal,0.0
K Gowtham,0.0
Karanveer Singh,0.0
Kb Arun Karthik,0.0
Kc Cariappa,0.0
Kc Sangakkara,0.0
Kd Karthik,0.0
Kh Pandya,0.0
Kj Abbott,0.0
Kartik Tyagi,0.0
K Goel,0.0
Jr Philippe,0.0
Jr Hopes,0.0
Jj Bumrah,0.0
Jj Roy,0.0
Jj Van Der Wath,0.0
Jl Pattinson,0.0
Jm Bairstow,0.0
Jm Kemp,0.0
Jm Sharma,0.0
Jo Holder,0.0
Joginder Sharma,0.0
Jp Behrendorff,0.0
Jp Duminy,0.0
Jp Faulkner,0.0
Jp Inglis,0.0
Jpr Scantlebury-Searles,0.0
Jr Hazlewood,0.0
Kk Ahmed,0.0
Kk Cooper,0.0
Kk Nair,0.0
Kl Nagarkoti,0.0
Lh Ferguson,0.0
